region,lga,ward_merge,village_merge,select_wpt_name,new_wpt_name,wpt_name,wpt_code,wpt_type,wpt_type_other,wpt_status,wpt_non_functional_reason,wpt_non_functional_reason_other,wpt_pbr_status,wpt_call_status,pbr_nonfunctional_functional,pbr_functional_nonfunctional,call_nonfunctional_functional,call_functional_nonfunctional,wpt_pbr_scheme,scheme_merge,scheme_name_change,wpt_gps,wpt_image,numbertaps
Dodoma,Chemba,Chemba,Kambi ya Nyasa,NA,Shuleni,Shuleni,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kambi ya Nyasa water scheme,NA,-5.307450534089849 35.88548527587403 1165.9770604918303 4.0,http://classic.ona.io/api/v1/files/2370054?filename=pbrtz/attachments/1474103312568.jpg,NA
Dodoma,Chemba,Chemba,Kambi ya Nyasa,NA,Stand,Stand,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kambi ya Nyasa,NA,-5.311421659435385 35.88295394322552 1157.6790128019604 4.0,http://classic.ona.io/api/v1/files/2370051?filename=pbrtz/attachments/1474103910511.jpg,NA
Dodoma,Chemba,Chemba,Kambi ya Nyasa,NA,Sekondari,Sekondari,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kambi ya Nyasa,NA,-5.310199917563417 35.892756013481055 1164.923514810991 4.0,http://classic.ona.io/api/v1/files/2370049?filename=pbrtz/attachments/1474105301826.jpg,NA
Dodoma,Chemba,Chemba,Kambi ya Nyasa,NA,Kijijini,Kijijini,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kambi ya Nyasa,NA,-5.308100788335941 35.90900690164177 1169.2821418596861 4.0,http://classic.ona.io/api/v1/files/2370064?filename=pbrtz/attachments/1474106085379.jpg,NA
Dodoma,Chemba,Chemba,Kambi ya Nyasa,NA,Ukristoni,Ukristoni,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kambi ya Nyasa,NA,-5.3156237459216635 35.88249586704892 1160.2994672535524 4.0,http://classic.ona.io/api/v1/files/2370060?filename=pbrtz/attachments/1474107661098.jpg,NA
Dodoma,Chemba,Chemba,Chemba,NA,Bombani,Bombani,NA,communal_standpipe,NA,Not_functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,LGA,NA,-5.243292779960135 35.890602314218356 1222.7412456395452 4.0,http://classic.ona.io/api/v1/files/2370070?filename=pbrtz/attachments/1474111414960.jpg,NA
Dodoma,Chemba,Chemba,Chemba,Bombani_01073109131WP22,NA,Bombani_01073109131WP22,01073109131WP22,kiosk,NA,Functional,NA,NA,Functional,NA,NA,NA,NA,NA,Chemba,Chemba,NA,-5.24280554628906 35.890279577292084 1237.793722407066 4.0,http://classic.ona.io/api/v1/files/2370068?filename=pbrtz/attachments/1474111989161.jpg,2
Dodoma,Chemba,Chemba,Chemba,NA,Kwa Juma,Kwa Juma,NA,communal_standpipe,NA,Not_functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,LGA,NA,-5.239963142398506 35.89040055820402 1227.160846070813 4.0,http://classic.ona.io/api/v1/files/2370072?filename=pbrtz/attachments/1474112973803.jpg,NA
Dodoma,Chemba,Chemba,Chemba,NA,Bombani,Bombani,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,LGA,NA,-5.248377100221719 35.89251620134835 1211.964525135082 4.0,http://classic.ona.io/api/v1/files/2370069?filename=pbrtz/attachments/1474114019264.jpg,NA
Dodoma,Chemba,Chemba,Chemba,Shuleni_01073109131WP23,NA,Shuleni_01073109131WP23,01073109131WP23,kiosk,NA,Functional,NA,NA,Not_functional,NA,NA,never_non_functional,NA,NA,Chemba,Chemba,NA,-5.236452098242299 35.890342057765324 1236.566856029752 4.0,http://classic.ona.io/api/v1/files/2370067?filename=pbrtz/attachments/1474115307329.jpg,2
Dodoma,Chemba,Chemba,Chemba,Kwamjungu_01073109131WP24,NA,Kwamjungu_01073109131WP24,01073109131WP24,kiosk,NA,Functional,NA,NA,Not_functional,NA,NA,never_non_functional,NA,NA,Chemba,Chemba,NA,-5.23148110508996 35.88951733067199 1217.362797858768 4.0,http://classic.ona.io/api/v1/files/2370078?filename=pbrtz/attachments/1474117600432.jpg,2
Dodoma,Chemba,Chemba,Chemba,Mradini_House_01073109131WP25,NA,Mradini_House_01073109131WP25,01073109131WP25,kiosk,NA,Not_functional,NA,NA,Not_functional,NA,NA,NA,NA,NA,Chemba,Chemba,NA,-5.229439881483997 35.892664614384245 1243.9223580628043 4.0,http://classic.ona.io/api/v1/files/2370074?filename=pbrtz/attachments/1474118194053.jpg,2
Dodoma,Chemba,Chemba,Chemba,Kanisani_01073109131WP26,NA,Kanisani_01073109131WP26,01073109131WP26,kiosk,NA,Not_functional,NA,NA,Not_functional,NA,NA,NA,NA,NA,Chemba,Chemba,NA,-5.2273305946737985 35.89000947698645 1235.6785373404277 4.0,http://classic.ona.io/api/v1/files/2370075?filename=pbrtz/attachments/1474118681611.jpg,2
Dodoma,Chemba,Chemba,Chemba,Mzee_Shaurimoyo_01073109131WP27,NA,Mzee_Shaurimoyo_01073109131WP27,01073109131WP27,kiosk,NA,Not_functional,NA,NA,Not_functional,NA,NA,NA,NA,NA,Chemba,Chemba,NA,-5.223979180132141 35.888209889932796 1227.7033617545342 4.0,http://classic.ona.io/api/v1/files/2370076?filename=pbrtz/attachments/1474119164905.jpg,2
Dodoma,Chemba,Chemba,Chemba,NA,Kwa Halifa Mwinyi,Kwa Halifa Mwinyi,NA,communal_standpipe,NA,Not_functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,LGA,NA,-5.2252288797204525 35.889275322122614 1237.7781395756756 4.0,http://classic.ona.io/api/v1/files/2370077?filename=pbrtz/attachments/1474119815705.jpg,NA
Dodoma,Chemba,Chemba,Chemba,NA,Kwa Shabani Kijuu,Kwa Shabani Kijuu,NA,communal_standpipe,NA,Not_functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,LGA,NA,-5.2205160904281245 35.88910444493083 1220.6463194902994 4.0,http://classic.ona.io/api/v1/files/2370085?filename=pbrtz/attachments/1474120555698.jpg,NA
Dodoma,Chemba,Chemba,Chemba,NA,Kwa Asha Abdallah,Kwa Asha Abdallah,NA,communal_standpipe,NA,Not_functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,LGA,NA,-5.231796815330857 35.88999308538878 1235.7693167891964 4.0,http://classic.ona.io/api/v1/files/2370084?filename=pbrtz/attachments/1474121707029.jpg,NA
Pwani,Kibaha,Magindu,Lukenge,Ally_Maskati_06023011031WP 12,NA,Ally_Maskati_06023011031WP 12,06023011031WP 12,kiosk,NA,Not_functional,4,NA,Functional,NA,more_3_months,NA,NA,NA,Wami_Chalinze,Wami_Chalinze,NA,-6.8847587503919225 38.3337088361753 178.81443970524623 4.0,http://classic.ona.io/api/v1/files/2370941?filename=pbrtz/attachments/1474189143200.jpg,4
Pwani,Kibaha,Magindu,Lukenge,Agness_Baruti_06023011031WP 13,NA,Agness_Baruti_06023011031WP 13,06023011031WP 13,kiosk,NA,Not_functional,4,NA,Functional,NA,more_3_months,NA,NA,NA,Wami_Chalinze,Wami_Chalinze,NA,-6.88249695901258 38.33310635852808 168.56384930337524 4.0,http://classic.ona.io/api/v1/files/2370945?filename=pbrtz/attachments/1474189578474.jpg,4
Pwani,Kibaha,Magindu,Magindu,Kwa_Mama_Lela_06023011031WP 05,NA,Kwa_Mama_Lela_06023011031WP 05,06023011031WP 05,kiosk,NA,Functional,NA,NA,Functional,NA,NA,NA,NA,NA,Wami_Chalinze,Wami_Chalinze,NA,-6.8159048980001575 38.32227131832172 156.35930207270516 4.0,http://classic.ona.io/api/v1/files/2370947?filename=pbrtz/attachments/1474195541296.jpg,4
Pwani,Kibaha,Magindu,Magindu,Judith_Mkurugute_06023011031WP 09,NA,Judith_Mkurugute_06023011031WP 09,06023011031WP 09,kiosk,NA,Functional,NA,NA,Functional,NA,NA,NA,NA,NA,Wami_Chalinze,Wami_Chalinze,NA,-6.805672370365443 38.33111135469634 168.80631100919672 4.0,http://classic.ona.io/api/v1/files/2370950?filename=pbrtz/attachments/1474196035581.jpg,4
Pwani,Kibaha,Magindu,Magindu,NA,Kwa mama jiti,Kwa mama jiti,NA,kiosk,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wami-Chalinze,NA,-6.82337586576181 38.32391646086901 149.83419105755422 4.0,http://classic.ona.io/api/v1/files/2370958?filename=pbrtz/attachments/1474196572809.jpg,NA
Pwani,Kibaha,Magindu,Magindu,NA,Kwa hasani omary bushiri,Kwa hasani omary bushiri,NA,kiosk,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wami chalize,NA,-6.816223619490274 38.32563952234573 151.8226665008487 4.0,http://classic.ona.io/api/v1/files/2370948?filename=pbrtz/attachments/1474197070193.jpg,NA
Pwani,Kibaha,Magindu,Magindu,NA,Paulina  Chacha (kwa kasongo),Paulina  Chacha (kwa kasongo),NA,kiosk,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wami-chalinze,NA,-6.815326996862022 38.32302538861172 150.0272972088157 4.0,http://classic.ona.io/api/v1/files/2370957?filename=pbrtz/attachments/1474202240746.jpg,NA
Pwani,Kibaha,Magindu,Magindu,Mateo_Kisebengo_06023011031WP 06,NA,Mateo_Kisebengo_06023011031WP 06,06023011031WP 06,kiosk,NA,Functional,NA,NA,Functional,NA,NA,NA,NA,NA,Wami_Chalinze,Wami_Chalinze,NA,-6.816448258195901 38.3229397964956 150.7997393897507 4.0,http://classic.ona.io/api/v1/files/2370953?filename=pbrtz/attachments/1474202610780.jpg,4
Pwani,Kibaha,Magindu,Mizuguni,NA,Kwa mlandete,Kwa mlandete,NA,kiosk,NA,Not_functional,7,NA,NA,NA,NA,NA,NA,NA,NA,Wami-Chalinze,NA,-6.824033413689447 38.31313393030946 167.03502789406338 4.0,http://classic.ona.io/api/v1/files/2370963?filename=pbrtz/attachments/1474193588303.jpg,NA
Pwani,Kibaha,Magindu,Mizuguni,NA,Kwa msafiri,Kwa msafiri,NA,kiosk,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wami- Chalinze,NA,-6.81893519062797 38.316180673999796 162.96190640506833 4.0,http://classic.ona.io/api/v1/files/2370959?filename=pbrtz/attachments/1474194051451.jpg,NA
Pwani,Kibaha,Magindu,Mizuguni,Esta_Dikoko_06023011031WP 01,NA,Esta_Dikoko_06023011031WP 01,06023011031WP 01,kiosk,NA,Functional,NA,NA,Functional,NA,NA,NA,NA,NA,Wami_Chalinze,Wami_Chalinze,NA,-6.81692704502952 38.31954368045592 162.08609551820135 4.0,http://classic.ona.io/api/v1/files/2370966?filename=pbrtz/attachments/1474194473825.jpg,4
Pwani,Kibaha,Magindu,Mizuguni,NA,Kwa mzee maneno,Kwa mzee maneno,NA,kiosk,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wami- Chalinze,NA,-6.8156865861184555 38.31871072577759 155.1267328220001 4.0,http://classic.ona.io/api/v1/files/2370961?filename=pbrtz/attachments/1474194868667.jpg,NA
Dodoma,Chemba,Kidoka,Pangalua,NA,Uwanjani,Uwanjani,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mradi wa maji pangalua,NA,-5.38218327 35.9371428 1167.0 5.0,http://classic.ona.io/api/v1/files/2371094?filename=pbrtz/attachments/1474183194557.jpg,NA
Dodoma,Chemba,Kidoka,Pangalua,NA,Kwa Mwenyekiti,Kwa Mwenyekiti,NA,communal_standpipe,NA,Not_functional,8 10,NA,NA,NA,NA,NA,NA,NA,NA,Pangalua,NA,-5.37737561 35.93674317 1168.0 5.0,http://classic.ona.io/api/v1/files/2371095?filename=pbrtz/attachments/1474183738383.jpg,NA
Dodoma,Chemba,Kidoka,Pangalua,NA,Kanisani,Kanisani,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pangaluwa,NA,-5.38770764 35.93807934 1172.0 5.0,http://classic.ona.io/api/v1/files/2371100?filename=pbrtz/attachments/1474185208604.jpg,NA
Dodoma,Chemba,Kidoka,Pangalua,NA,Shuleni,Shuleni,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pangalua,NA,-5.38634969 35.91440025 1144.0 5.0,http://classic.ona.io/api/v1/files/2371107?filename=pbrtz/attachments/1474187145756.jpg,NA
Dodoma,Chemba,Kidoka,Pangalua,NA,Kwa Kimolo,Kwa Kimolo,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pangalua,NA,-5.3866825 35.91238876 1133.0 5.0,http://classic.ona.io/api/v1/files/2371111?filename=pbrtz/attachments/1474227769769.jpg,NA
Dodoma,Chemba,Kidoka,Kidoka,NA,Zahanati zamani,Zahanati zamani,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kidoka,NA,-5.40696008 35.85305425 1119.0 5.0,http://classic.ona.io/api/v1/files/2371114?filename=pbrtz/attachments/1474190152373.jpg,NA
Dodoma,Chemba,Kidoka,Kidoka,NA,Zahanati kituo kipya,Zahanati kituo kipya,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mkaji project,NA,-5.40685044 35.85228924 1120.0 4.0,http://classic.ona.io/api/v1/files/2371116?filename=pbrtz/attachments/1474190435371.jpg,NA
Dodoma,Chemba,Kidoka,Kidoka,NA,Shuleni-Mwenge,Shuleni-Mwenge,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kidoka,NA,-5.4096484 35.85235865 1119.0 5.0,http://classic.ona.io/api/v1/files/2371118?filename=pbrtz/attachments/1474190774002.jpg,NA
Dodoma,Chemba,Kidoka,Kidoka,NA,Shuleni,Shuleni,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shuleni,NA,-5.41018832 35.85316243 1120.0 5.0,http://classic.ona.io/api/v1/files/2371119?filename=pbrtz/attachments/1474191033047.jpg,NA
Dodoma,Chemba,Kidoka,Kidoka,NA,Kwa Kimosa,Kwa Kimosa,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kidoka,NA,-5.41480191 35.85328308 1120.0 5.0,http://classic.ona.io/api/v1/files/2371123?filename=pbrtz/attachments/1474191400822.jpg,NA
Dodoma,Chemba,Kidoka,Kidoka,NA,Kanisa Anglican,Kanisa Anglican,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kidoka,NA,-5.40774748 35.85662983 1119.0 5.0,http://classic.ona.io/api/v1/files/2371124?filename=pbrtz/attachments/1474191845617.jpg,NA
Dodoma,Chemba,Kidoka,Kidoka,NA,Msikitini,Msikitini,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,WSDP,NA,-5.40569287 35.85586904 1119.0 5.0,http://classic.ona.io/api/v1/files/2371126?filename=pbrtz/attachments/1474192292285.jpg,NA
Dodoma,Chemba,Kidoka,Kidoka,NA,Kwa Muhogo,Kwa Muhogo,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,WSDP,NA,-5.40376696 35.85626973 1121.0 5.0,http://classic.ona.io/api/v1/files/2371127?filename=pbrtz/attachments/1474192710860.jpg,NA
Dodoma,Chemba,Kidoka,Kidoka,NA,Kwa Ayoub,Kwa Ayoub,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,WSDP,NA,-5.4034572 35.85506271 1120.0 5.0,http://classic.ona.io/api/v1/files/2371130?filename=pbrtz/attachments/1474193146420.jpg,NA
Dodoma,Chemba,Kidoka,Kidoka,NA,Kwa Mkung'ati,Kwa Mkung'ati,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,WSTP,NA,-5.39888892 35.85549528 1126.0 5.0,http://classic.ona.io/api/v1/files/2371131?filename=pbrtz/attachments/1474194118144.jpg,NA
Dodoma,Chemba,Kidoka,Kidoka,NA,Kwa Juma,Kwa Juma,NA,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,NA,NA,NA,NA,WSDP,NA,-5.39526009 35.85006252 1123.0 5.0,http://classic.ona.io/api/v1/files/2371133?filename=pbrtz/attachments/1474194495406.jpg,NA
Dodoma,Chemba,Paranga,Paranga,NA,Miembeni,Miembeni,NA,communal_standpipe,NA,Not_functional,4 9 10,NA,NA,NA,NA,NA,NA,NA,NA,LGA,NA,-5.17869095 35.86784308 1189.0 5.0,http://classic.ona.io/api/v1/files/2371140?filename=pbrtz/attachments/1474198133266.jpg,NA
Dodoma,Chemba,Paranga,Paranga,NA,Kwa Mzee Rashidi,Kwa Mzee Rashidi,NA,communal_standpipe,NA,Not_functional,4 9 10 7,NA,NA,NA,NA,NA,NA,NA,NA,LGA,NA,-5.1783668 35.86884778 1199.0 5.0,http://classic.ona.io/api/v1/files/2371141?filename=pbrtz/attachments/1474198496276.jpg,NA
Dodoma,Chemba,Paranga,Paranga,NA,Kwa Ali Bira,Kwa Ali Bira,NA,communal_standpipe,NA,Not_functional,4 9 10,NA,NA,NA,NA,NA,NA,NA,NA,LGA,NA,-5.17718568 35.8705053 1200.0 5.0,http://classic.ona.io/api/v1/files/2371142?filename=pbrtz/attachments/1474198909288.jpg,NA
Dodoma,Chemba,Paranga,Paranga,NA,Uwanja wa mpira S/Msingi,Uwanja wa mpira S/Msingi,NA,communal_standpipe,NA,Not_functional,4 9 10 7,NA,NA,NA,NA,NA,NA,NA,NA,LGA,NA,-5.1761601 35.87051731 1199.0 5.0,http://classic.ona.io/api/v1/files/2371144?filename=pbrtz/attachments/1474199318203.jpg,NA
Dodoma,Chemba,Paranga,Paranga,NA,Godown,Godown,NA,communal_standpipe,NA,Not_functional,4 9 10,NA,NA,NA,NA,NA,NA,NA,NA,LGA,NA,-5.17470318 35.8695918 1190.0 5.0,http://classic.ona.io/api/v1/files/2371138?filename=pbrtz/attachments/1474199650919.jpg,NA
Dodoma,Chemba,Paranga,Paranga,NA,Godown kwa Ayubu Mzee,Godown kwa Ayubu Mzee,NA,communal_standpipe,NA,Not_functional,4 9 10,NA,NA,NA,NA,NA,NA,NA,NA,LGA,NA,-5.17526901 35.8685593 1186.0 4.0,http://classic.ona.io/api/v1/files/2371146?filename=pbrtz/attachments/1474200046347.jpg,NA
Dodoma,Chemba,Paranga,Paranga,NA,Godown Kwa Shaban Kombo,Godown Kwa Shaban Kombo,NA,communal_standpipe,NA,Not_functional,4 9 10,NA,NA,NA,NA,NA,NA,NA,NA,LGA,NA,-5.17667712 35.86780319 1183.0 5.0,http://classic.ona.io/api/v1/files/2371148?filename=pbrtz/attachments/1474200465951.jpg,NA
Dodoma,Chemba,Paranga,Paranga,NA,Msikitini,Msikitini,NA,communal_standpipe,NA,Not_functional,4 9 10,NA,NA,NA,NA,NA,NA,NA,NA,LGA,NA,-5.17671775 35.86674496 1178.0 5.0,http://classic.ona.io/api/v1/files/2371149?filename=pbrtz/attachments/1474200698464.jpg,NA
Dodoma,Chemba,Paranga,Paranga,Tutani_Barabarani_01073109141WP15,NA,Tutani_Barabarani_01073109141WP15,01073109141WP15,communal_standpipe,NA,Not_functional,4 9 10,NA,Functional,NA,never_functional,NA,NA,NA,Tuta,Tuta,NA,-5.16275498 35.85510182 1171.0 5.0,http://classic.ona.io/api/v1/files/2371152?filename=pbrtz/attachments/1474202003156.jpg,2
Dodoma,Chemba,Paranga,Paranga,NA,Mashine ya maji,Mashine ya maji,NA,communal_standpipe,NA,Not_functional,4 9 10,NA,NA,NA,NA,NA,NA,NA,NA,LGA,NA,-5.15973227 35.85715862 1166.0 5.0,http://classic.ona.io/api/v1/files/2371158?filename=pbrtz/attachments/1474203749990.jpg,NA
Dodoma,Kondoa,Kolo,Choka,NA,Center,Center,NA,communal_standpipe,NA,Not_functional,9,NA,NA,NA,NA,NA,NA,NA,NA,WB,NA,-4.77258592 35.83562832 1546.0 5.0,http://classic.ona.io/api/v1/files/2376502?filename=pbrtz/attachments/1474267995281.jpg,NA
Dodoma,Kondoa,Kolo,Choka,NA,Lusangi,Lusangi,NA,communal_standpipe,NA,Not_functional,7,NA,NA,NA,NA,NA,NA,NA,NA,WB,NA,-4.78720114 35.83320332 1578.0 5.0,http://classic.ona.io/api/v1/files/2376524?filename=pbrtz/attachments/1474268602867.jpg,NA
Dodoma,Kondoa,Kolo,Choka,Kanisani_01013014241WP15,NA,Kanisani_01013014241WP15,01013014241WP15,communal_standpipe,NA,Not_functional,9 7,NA,Functional,NA,more_3_months,NA,NA,NA,Choka,Choka,NA,-4.77971332 35.83354891 1559.0 5.0,http://classic.ona.io/api/v1/files/2376526?filename=pbrtz/attachments/1474269422615.jpg,1
Dodoma,Kondoa,Kolo,Choka,NA,Shuleni,Shuleni,NA,communal_standpipe,NA,Not_functional,9,NA,NA,NA,NA,NA,NA,NA,NA,Choka WB,NA,-4.77970974 35.82992595 1586.0 5.0,http://classic.ona.io/api/v1/files/2376527?filename=pbrtz/attachments/1474269781798.jpg,NA
