,wptname,region,lga,ward,village,subvillage,installer,schemename,longitude,latitude,status
12875,Kwa Banzi,Morogoro,Morogoro,Kisemu,Mtamba,Kigong'O,RWE,Mkom,37.77778,-7.06325,Not functional
12876,Kwa Joseph Nguo,Morogoro,Morogoro,Kisemu,Mtamba,Kigong'O,Jicks,Mtam,37.77928,-7.06079,Functional needs repair
12877,Kwa Mzee Thomas Mgogolo,Morogoro,Morogoro,Kisemu,Mtamba,Kigong'O,RWE,Mkom,37.77887,-7.06129,Functional
12878,Kwa Selina,Morogoro,Morogoro,Kisemu,Mtamba,Kigong'O,RWE,Mkom,37.77789,-7.06521,Not functional
12879,Kota,Morogoro,Morogoro,Kisemu,Mtamba,Mtamba Chini,RWE,Mkom,37.77608,-7.07501,Functional
12880,Kwa Mamba,Morogoro,Morogoro,Kisemu,Mtamba,Mtamba Chini,Jicks,Mtam,37.77402,-7.07387,Not functional
12881,Kwa Mzee Humbi,Morogoro,Morogoro,Kisemu,Mtamba,Mtamba Chini,RWE,Mkom,37.77645,-7.07645,Not functional
12882,Kwa Mtemang'Ande,Morogoro,Morogoro,Kolero,Mvuha,Barani,DWE,,37.84286,-7.1984,Not functional
12883,Kwa Mzee Dimoso,Morogoro,Morogoro,Konde,Gozo,Nige A,DWE,,37.78681,-7.04471,Functional
12884,Kwa Mzee Juma Mdidi,Morogoro,Morogoro,Konde,Gozo,Nige B,DWE,,37.78503,-7.04757,Not functional
12896,Kwa Mzee Masenga,Morogoro,Morogoro,Lundi,Msonge,Gombo,RWE,,37.85027,-7.14139,Not functional
12897,Kwa Mzee Nzumari,Morogoro,Morogoro,Lundi,Msonge,Maganga,RWE,,37.84958,-7.13226,Not functional
12898,Kwa Mzee Mkenza,Morogoro,Morogoro,Lundi,Msonge,Pongwa,DWE,,37.85245,-7.12502,Not functional
12899,Kwa Mzee Ngoma,Morogoro,Morogoro,Lundi,Msonge,Pongwa,RWE,,37.85207,-7.1247,Not functional
13085,Kangazi Stendi,Morogoro,Morogoro,Mtombozi,Mtamba,Kangazi,RWE,Mkom,37.77843,-7.10044,Functional
13086,Kwa Angozi,Morogoro,Morogoro,Mtombozi,Mtamba,Kangazi,RWE,Mkom,37.77807,-7.09603,Not functional
13087,Kwa Juto,Morogoro,Morogoro,Mtombozi,Mtamba,Kangazi,Jicks,Mtam,37.77598,-7.09797,Functional
13088,Kwa Kaulawa,Morogoro,Morogoro,Mtombozi,Mtamba,Kangazi,Jicks,Mtam,37.77842,-7.09791,Functional
13089,Kwa Ngozi,Morogoro,Morogoro,Mtombozi,Mtamba,Kangazi,RWE,Mkom,37.7778,-7.09541,Functional
13090,Kangazi Stendi,Morogoro,Morogoro,Mtombozi,Mtamba,Kangazi Stendi,Jicks,Mtam,37.77838,-7.10044,Functional
13091,Kwa Allmasi,Morogoro,Morogoro,Mtombozi,Mtamba,Kibandubandu,Jicks,Mtam,37.77696,-7.07833,Functional
13092,Kwa Mzee Misego,Morogoro,Morogoro,Mtombozi,Mtamba,Kibandubandu,Jicks,Mtam,37.77595,-7.08052,Functional
13093,Kwa Fuko,Morogoro,Morogoro,Mtombozi,Mtamba,Mtamba Chini,RWE,Mkom,37.77489,-7.07858,Functional
13094,Kwa Mzee Bobesha,Morogoro,Morogoro,Mtombozi,Mtamba,Mtamba Chini,RWE,Mkom,37.7743,-7.07589,Functional
13095,Gezaulole,Morogoro,Morogoro,Mtombozi,Mtamba,Mtamba Kati,RWE,Mkom,37.77349,-7.0814,Not functional
13096,Kwa Mzee Kolwa,Morogoro,Morogoro,Mtombozi,Mtamba,Mtamba Kati,RWE,Mkom,37.77479,-7.08349,Functional
13097,Msikitini,Morogoro,Morogoro,Mtombozi,Mtamba,Mtamba Kati,DWE,Mkom,37.7744,-7.08138,Functional
13098,Polisi,Morogoro,Morogoro,Mtombozi,Mtamba,Mtamba Kati,RWE,Mkom,37.77433,-7.07826,Not functional
13099,Sokoni,Morogoro,Morogoro,Mtombozi,Mtamba,Mtamba Kati,RWE,Mkom,37.77392,-7.08002,Functional
13100,Zahanati,Morogoro,Morogoro,Mtombozi,Mtamba,Mtamba Kati,Jicks,Mtam,37.77512,-7.08291,Functional
13101,Zahanati,Morogoro,Morogoro,Mtombozi,Mtamba,Mtamba Kati,RWE,Mkom,37.77523,-7.08265,Not functional
13102,Kwa Bibi Butwa,Morogoro,Morogoro,Mtombozi,Mtamba,Mtamba Shule,RWE,Mkom,37.77087,-7.08227,Functional
13103,Kwa Kizeve,Morogoro,Morogoro,Mtombozi,Mtamba,Mtamba Shule,Jicks,Mtam,37.77265,-7.07928,Functional
13104,Kwa Machela,Morogoro,Morogoro,Mtombozi,Mtamba,Mtamba Shule,RWE,Mkom,37.77191,-7.08102,Not functional
13105,Kwa Machonga,Morogoro,Morogoro,Mtombozi,Mtamba,Mtamba Shule,Jicks,Mtam,37.77032,-7.08749,Functional
13106,Mwaleni,Morogoro,Morogoro,Mtombozi,Mtamba,Mtamba Shule,RWE,Mkom,37.77074,-7.08692,Not functional
13107,Shuleni,Morogoro,Morogoro,Mtombozi,Mtamba,Mtamba Shule,RWE,Mkom,37.77122,-7.0845,Functional
13108,Sokoni,Morogoro,Morogoro,Mtombozi,Mtamba,Mtanva Kati,Jiks,Mtam,37.77409,-7.07958,Functional
13109,Kwa Mzee Ngubi,Morogoro,Morogoro,Mtombozi,Mtamba,Nondolo,RWE,Mkom,37.77053,-7.0805,Functional
13110,Kwa Dilunga,Morogoro,Morogoro,Mtombozi,Mtamba,Nzasa,RWE,Mkom,37.77553,-7.08888,Functional
13111,Kwa Lugonzo,Morogoro,Morogoro,Mtombozi,Mtamba,Nzasa,RWE,Mkom,37.77399,-7.08542,Functional
13112,Kwa Simba,Morogoro,Morogoro,Mtombozi,Mtamba,Nzasa,Jicks,Mtam,37.77665,-7.09205,Functional
13132,Kwa Mkono,Morogoro,Morogoro,Mvuha,Dala,Kibana,DWE,,37.85579,-7.20476,Not functional
13133,Kwa Mzee Lukinga,Morogoro,Morogoro,Mvuha,Dala,Kibana,DWE,,37.85642,-7.20654,Functional
13134,Kwa Zingizi,Morogoro,Morogoro,Mvuha,Dala,Kibana,DWE,,37.85429,-7.20183,Not functional
13135,Shuleni,Morogoro,Morogoro,Mvuha,Dala,Kibana,KTA C,Mvuh,37.85382,-7.20567,Not functional
13136,Kwa Mzee John,Morogoro,Morogoro,Mvuha,Dala,Kirengezi,DWE,,37.84773,-7.26142,Functional
13137,Kwa Mzee John Roman,Morogoro,Morogoro,Mvuha,Dala,Kirengezi,DWE,,37.84799,-7.28725,Not functional
13138,Kwa Daudi,Morogoro,Morogoro,Mvuha,Dala,Ngagama,DWE,,37.85137,-7.19711,Not functional
13139,Kwa Dilalila,Morogoro,Morogoro,Mvuha,Dala,Ngagama,DWE,,37.85129,-7.19777,Not functional
13140,Kwa Mzee Maleta,Morogoro,Morogoro,Mvuha,Dala,Ngagama,DWE,,37.84987,-7.20019,Not functional
13141,Kwa Mzee Malongoza,Morogoro,Morogoro,Mvuha,Dala,Ngagama,KTA C,Mvuh,37.85045,-7.19901,Not functional
13142,Kwa Mzelu,Morogoro,Morogoro,Mvuha,Dala,Ngagama,KTA C,Mvuh,37.85482,-7.19965,Not functional
13143,Kwa Mzelu,Morogoro,Morogoro,Mvuha,Dala,Ngagama,DWE,,37.85573,-7.19943,Not functional
13144,Kwa Mzee Mkopi,Morogoro,Morogoro,Mvuha,Kiganila,Kwadia,DWE,,37.99016,-7.21876,Not functional
13149,Kwa Mzee Sudi,Morogoro,Morogoro,Mvuha,Lukulunge,Lukulunge,RWE,,37.88847,-7.22426,Functional
13150,Kwa Mzee Simulizi,Morogoro,Morogoro,Mvuha,Lukulunge,Mwembe,RWE,,37.87782,-7.21718,Functional
13151,Kwa Mzee Delenga,Morogoro,Morogoro,Mvuha,Magogoni,Bombani,Islam,,37.98442,-7.21697,Not functional
13152,Kwa Mzee Mnyanga,Morogoro,Morogoro,Mvuha,Magogoni,Bombani,DWE,,37.98513,-7.21623,Not functional
13153,Msikitini,Morogoro,Morogoro,Mvuha,Magogoni,Bombani,Islam,,37.98601,-7.2155,Not functional
13154,Kwa Mzee Mazinda,Morogoro,Morogoro,Mvuha,Magogoni,Gongoni,Islam,,37.98323,-7.21523,Not functional
13155,Kwa Mzee Shati,Morogoro,Morogoro,Mvuha,Magogoni,Rungo,DWE,,37.98624,-7.2323,Not functional
13156,Kwa Mzee Hasira,Morogoro,Morogoro,Mvuha,Magogoni,Shuleni,DWE,,37.98674,-7.22657,Not functional
13157,Kwa Mzee Tega,Morogoro,Morogoro,Mvuha,Magogoni,Shuleni,DWE,,37.98698,-7.22449,Not functional
13158,Kwa Poli,Morogoro,Morogoro,Mvuha,Magogoni,Shuleni,Islam,,37.98514,-7.21879,Not functional
13159,Kwa Mzee Dilawa,Morogoro,Morogoro,Mvuha,Msonge,Kidai,DWE,,37.86001,-7.11635,Not functional
13160,Kwa Mzee Jafari,Morogoro,Morogoro,Mvuha,Msonge,Kidai,RWE,,37.864,-7.11123,Not functional
13161,Kwa Mzee Makoa,Morogoro,Morogoro,Mvuha,Msonge,Msonge,RWE,,37.87122,-7.10693,Functional
13162,Shule Ya Msingi Mvuha,Morogoro,Morogoro,Mvuha,Mvuha,Balani,,Mvuha/Dalla Water Supply,37.8538,-7.19573,Not functional
13163,Sokoni,Morogoro,Morogoro,Mvuha,Mvuha,Balani,,Mvuha/Dalla Water Supply,37.85244,-7.19531,Not functional
13164,Shuleni,Morogoro,Morogoro,Mvuha,Mvuha,Barani,DWE,,37.85397,-7.19713,Not functional
13165,Sokoni,Morogoro,Morogoro,Mvuha,Mvuha,Barani,DWE,,37.8512,-7.19529,Not functional
13166,Kwa Jamnda,Morogoro,Morogoro,Mvuha,Mvuha,Changarawe,,Mvuha/Dalla Water Supply,37.8527,-7.1892,Not functional
13167,Umasaini,Morogoro,Morogoro,Mvuha,Mvuha,Changarawe,DWE,,37.85553,-7.1838,Not functional
13168,Kwa Mzee Makulula,Morogoro,Morogoro,Mvuha,Mvuha,Kimelo,DWE,,37.86007,-7.19839,Not functional
13169,Mvuha Sekondari,Morogoro,Morogoro,Mvuha,Mvuha,Kimelo,,Mvuha/Dalla Water Supply,37.85693,-7.19786,Not functional
13170,Zahanati,Morogoro,Morogoro,Mvuha,Mvuha,Kimelo,,Mvuha/Dalla Water Supply,37.86403,-7.19988,Not functional
13171,Kwa Mkangara,Morogoro,Morogoro,Mvuha,Mvuha,Kiwalani,,Mvuha/Dalla Water Supply,37.8527,-7.19313,Not functional
13172,Kwa Mzee Mtalimbo,Morogoro,Morogoro,Mvuha,Tulo,Dova,DWE,,37.93151,-7.24398,Functional
13173,Kwa Mzee Papilo,Morogoro,Morogoro,Mvuha,Tulo,Vundumu,DWE,,37.91718,-7.23975,Not functional
13181,Kwa Mzee Dinongo,Morogoro,Morogoro,Selembala,Bwila Chini,Kariakoo,DWE,,38.01901,-7.26866,Functional
13182,Kwa Mzee Mkanga,Morogoro,Morogoro,Selembala,Bwila Chini,Kariakoo,DWE,,38.01859,-7.26738,Functional
13183,Kwa Mzee Kibuhile,Morogoro,Morogoro,Selembala,Bwila Chini,Kwa Nyagongo,DWE,,38.02089,-7.26771,Not functional
13184,Kwa Nyagongo,Morogoro,Morogoro,Selembala,Bwila Chini,Kwa Nyagongo,DWE,,38.0235,-7.26918,Functional
13185,Kwa Mzee Tupa,Morogoro,Morogoro,Selembala,Bwila Chini,Kwa Tupa,DWE,,38.01666,-7.2657,Not functional
13186,Kwa Mzee Kizinga,Morogoro,Morogoro,Selembala,Bwila Chini,Kwa Wagonzi,DWE,,38.01365,-7.2622,Functional
13187,Mtoni,Morogoro,Morogoro,Selembala,Bwila Chini,Vikonge,DWE,,38.02524,-7.27403,Not functional
13188,Shuleni,Morogoro,Morogoro,Selembala,Bwila Juu,Bwila Juu,DWE,,38.00825,-7.25704,Functional needs repair
13189,Kwa Mzee Hondohondo,Morogoro,Morogoro,Selembala,Bwila Juu,Kibilo,DWE,,38.00347,-7.24425,Functional
13190,Kwa Mzee Kiburugwa,Morogoro,Morogoro,Selembala,Bwila Juu,Masaki,DWE,,38.00409,-7.24954,Functional
13191,Kwa Mzee Ufole,Morogoro,Morogoro,Selembala,Bwila Juu,Muhunzi,DWE,,38.00357,-7.24671,Functional
13192,Kwa Mzee Kinzowela,Morogoro,Morogoro,Selembala,Bwila Juu,Songambele,DWE,,38.0054,-7.25294,Functional
13193,Kwa Mzee Nsumili,Morogoro,Morogoro,Selembala,Bwila Juu,Songambele,DWE,,38.00589,-7.25437,Not functional
13194,Kwa Mzee Mlali,Morogoro,Morogoro,Selembala,Bwila Juu,Umoja,DWE,,38.0036,-7.24273,Functional
13195,Kwa Mzee Nkwama,Morogoro,Morogoro,Selembala,Kiganila,Chankwama,DWE,,37.98603,-7.21058,Not functional
13196,Kwa Mzee Kusa,Morogoro,Morogoro,Selembala,Kiganila,Kwakusa,DWE,,37.99598,-7.22729,Not functional
13197,Kwa Mzee Mwinyigoha,Morogoro,Morogoro,Selembala,Kiganila,Mgoto,DWE,,37.99544,-7.22982,Not functional
13198,Shuleni,Morogoro,Morogoro,Selembala,Kiganila,Mgoto,DWE,,38.00148,-7.2325,Not functional
13199,Kwa Biti Gudi,Morogoro,Morogoro,Selembala,Kiganila,Ung'Ambani,DWE,,37.99433,-7.22547,Functional
