"","wpt_name","wpt_type","wpt_type_other","wpt_status","wpt_non_functional_reason","wpt_non_functional_reason_other","wpt_pbr_status","wpt_call_status","pbr_nonfunctional_functional","pbr_functional_nonfunctional","call_nonfunctional_functional","call_functional_nonfunctional","wpt_pbr_scheme","scheme_name_change","lat","long","wpt_image","region","lga","ward_merge","village_merge","scheme_merge"
"28","Mradini_House_01073109131WP25","kiosk",NA,"Not_functional",NA,NA,"Not_functional",NA,NA,NA,NA,NA,"Chemba",NA,"-5.229439881483997","35.892664614384245","http://classic.ona.io/api/v1/files/2370074?filename=pbrtz/attachments/1474118194053.jpg","Dodoma","Chemba","Chemba","Chemba","Chemba"
"29","Kanisani_01073109131WP26","kiosk",NA,"Not_functional",NA,NA,"Not_functional",NA,NA,NA,NA,NA,"Chemba",NA,"-5.2273305946737985","35.89000947698645","http://classic.ona.io/api/v1/files/2370075?filename=pbrtz/attachments/1474118681611.jpg","Dodoma","Chemba","Chemba","Chemba","Chemba"
"30","Mzee_Shaurimoyo_01073109131WP27","kiosk",NA,"Not_functional",NA,NA,"Not_functional",NA,NA,NA,NA,NA,"Chemba",NA,"-5.223979180132141","35.888209889932796","http://classic.ona.io/api/v1/files/2370076?filename=pbrtz/attachments/1474119164905.jpg","Dodoma","Chemba","Chemba","Chemba","Chemba"
"31","Kwa Halifa Mwinyi","communal_standpipe",NA,"Not_functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.2252288797204525","35.889275322122614","http://classic.ona.io/api/v1/files/2370077?filename=pbrtz/attachments/1474119815705.jpg","Dodoma","Chemba","Chemba","Chemba","LGA"
"32","Kwa Shabani Kijuu","communal_standpipe",NA,"Not_functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.2205160904281245","35.88910444493083","http://classic.ona.io/api/v1/files/2370085?filename=pbrtz/attachments/1474120555698.jpg","Dodoma","Chemba","Chemba","Chemba","LGA"
"33","Kwa Asha Abdallah","communal_standpipe",NA,"Not_functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.231796815330857","35.88999308538878","http://classic.ona.io/api/v1/files/2370084?filename=pbrtz/attachments/1474121707029.jpg","Dodoma","Chemba","Chemba","Chemba","LGA"
"34","Ally_Maskati_06023011031WP 12","kiosk",NA,"Not_functional","4",NA,"Functional",NA,"more_3_months",NA,NA,NA,"Wami_Chalinze",NA,"-6.8847587503919225","38.3337088361753","http://classic.ona.io/api/v1/files/2370941?filename=pbrtz/attachments/1474189143200.jpg","Pwani","Kibaha","Magindu","Lukenge","Wami_Chalinze"
"35","Agness_Baruti_06023011031WP 13","kiosk",NA,"Not_functional","4",NA,"Functional",NA,"more_3_months",NA,NA,NA,"Wami_Chalinze",NA,"-6.88249695901258","38.33310635852808","http://classic.ona.io/api/v1/files/2370945?filename=pbrtz/attachments/1474189578474.jpg","Pwani","Kibaha","Magindu","Lukenge","Wami_Chalinze"
"36","Kwa_Mama_Lela_06023011031WP 05","kiosk",NA,"Functional",NA,NA,"Functional",NA,NA,NA,NA,NA,"Wami_Chalinze",NA,"-6.8159048980001575","38.32227131832172","http://classic.ona.io/api/v1/files/2370947?filename=pbrtz/attachments/1474195541296.jpg","Pwani","Kibaha","Magindu","Magindu","Wami_Chalinze"
"37","Judith_Mkurugute_06023011031WP 09","kiosk",NA,"Functional",NA,NA,"Functional",NA,NA,NA,NA,NA,"Wami_Chalinze",NA,"-6.805672370365443","38.33111135469634","http://classic.ona.io/api/v1/files/2370950?filename=pbrtz/attachments/1474196035581.jpg","Pwani","Kibaha","Magindu","Magindu","Wami_Chalinze"
"38","Kwa mama jiti","kiosk",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-6.82337586576181","38.32391646086901","http://classic.ona.io/api/v1/files/2370958?filename=pbrtz/attachments/1474196572809.jpg","Pwani","Kibaha","Magindu","Magindu","Wami-Chalinze"
"39","Kwa hasani omary bushiri","kiosk",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-6.816223619490274","38.32563952234573","http://classic.ona.io/api/v1/files/2370948?filename=pbrtz/attachments/1474197070193.jpg","Pwani","Kibaha","Magindu","Magindu","Wami chalize"
"40","Paulina  Chacha (kwa kasongo)","kiosk",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-6.815326996862022","38.32302538861172","http://classic.ona.io/api/v1/files/2370957?filename=pbrtz/attachments/1474202240746.jpg","Pwani","Kibaha","Magindu","Magindu","Wami-chalinze"
"41","Mateo_Kisebengo_06023011031WP 06","kiosk",NA,"Functional",NA,NA,"Functional",NA,NA,NA,NA,NA,"Wami_Chalinze",NA,"-6.816448258195901","38.3229397964956","http://classic.ona.io/api/v1/files/2370953?filename=pbrtz/attachments/1474202610780.jpg","Pwani","Kibaha","Magindu","Magindu","Wami_Chalinze"
"42","Kwa mlandete","kiosk",NA,"Not_functional","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-6.824033413689447","38.31313393030946","http://classic.ona.io/api/v1/files/2370963?filename=pbrtz/attachments/1474193588303.jpg","Pwani","Kibaha","Magindu","Mizuguni","Wami-Chalinze"
"43","Kwa msafiri","kiosk",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-6.81893519062797","38.316180673999796","http://classic.ona.io/api/v1/files/2370959?filename=pbrtz/attachments/1474194051451.jpg","Pwani","Kibaha","Magindu","Mizuguni","Wami- Chalinze"
"44","Esta_Dikoko_06023011031WP 01","kiosk",NA,"Functional",NA,NA,"Functional",NA,NA,NA,NA,NA,"Wami_Chalinze",NA,"-6.81692704502952","38.31954368045592","http://classic.ona.io/api/v1/files/2370966?filename=pbrtz/attachments/1474194473825.jpg","Pwani","Kibaha","Magindu","Mizuguni","Wami_Chalinze"
"45","Kwa mzee maneno","kiosk",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-6.8156865861184555","38.31871072577759","http://classic.ona.io/api/v1/files/2370961?filename=pbrtz/attachments/1474194868667.jpg","Pwani","Kibaha","Magindu","Mizuguni","Wami- Chalinze"
"46","Uwanjani","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.38218327","35.9371428","http://classic.ona.io/api/v1/files/2371094?filename=pbrtz/attachments/1474183194557.jpg","Dodoma","Chemba","Kidoka","Pangalua","Mradi wa maji pangalua"
"47","Kwa Mwenyekiti","communal_standpipe",NA,"Not_functional","8 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.37737561","35.93674317","http://classic.ona.io/api/v1/files/2371095?filename=pbrtz/attachments/1474183738383.jpg","Dodoma","Chemba","Kidoka","Pangalua","Pangalua"
"48","Kanisani","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.38770764","35.93807934","http://classic.ona.io/api/v1/files/2371100?filename=pbrtz/attachments/1474185208604.jpg","Dodoma","Chemba","Kidoka","Pangalua","Pangaluwa"
"49","Shuleni","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.38634969","35.91440025","http://classic.ona.io/api/v1/files/2371107?filename=pbrtz/attachments/1474187145756.jpg","Dodoma","Chemba","Kidoka","Pangalua","Pangalua"
"50","Kwa Kimolo","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.3866825","35.91238876","http://classic.ona.io/api/v1/files/2371111?filename=pbrtz/attachments/1474227769769.jpg","Dodoma","Chemba","Kidoka","Pangalua","Pangalua"
"51","Zahanati zamani","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.40696008","35.85305425","http://classic.ona.io/api/v1/files/2371114?filename=pbrtz/attachments/1474190152373.jpg","Dodoma","Chemba","Kidoka","Kidoka","Kidoka"
"52","Zahanati kituo kipya","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.40685044","35.85228924","http://classic.ona.io/api/v1/files/2371116?filename=pbrtz/attachments/1474190435371.jpg","Dodoma","Chemba","Kidoka","Kidoka","Mkaji project"
"53","Shuleni-Mwenge","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.4096484","35.85235865","http://classic.ona.io/api/v1/files/2371118?filename=pbrtz/attachments/1474190774002.jpg","Dodoma","Chemba","Kidoka","Kidoka","Kidoka"
"54","Shuleni","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.41018832","35.85316243","http://classic.ona.io/api/v1/files/2371119?filename=pbrtz/attachments/1474191033047.jpg","Dodoma","Chemba","Kidoka","Kidoka","Shuleni"
"55","Kwa Kimosa","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.41480191","35.85328308","http://classic.ona.io/api/v1/files/2371123?filename=pbrtz/attachments/1474191400822.jpg","Dodoma","Chemba","Kidoka","Kidoka","Kidoka"
"56","Kanisa Anglican","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.40774748","35.85662983","http://classic.ona.io/api/v1/files/2371124?filename=pbrtz/attachments/1474191845617.jpg","Dodoma","Chemba","Kidoka","Kidoka","Kidoka"
"57","Msikitini","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.40569287","35.85586904","http://classic.ona.io/api/v1/files/2371126?filename=pbrtz/attachments/1474192292285.jpg","Dodoma","Chemba","Kidoka","Kidoka","WSDP"
"58","Kwa Muhogo","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.40376696","35.85626973","http://classic.ona.io/api/v1/files/2371127?filename=pbrtz/attachments/1474192710860.jpg","Dodoma","Chemba","Kidoka","Kidoka","WSDP"
"59","Kwa Ayoub","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.4034572","35.85506271","http://classic.ona.io/api/v1/files/2371130?filename=pbrtz/attachments/1474193146420.jpg","Dodoma","Chemba","Kidoka","Kidoka","WSDP"
"60","Kwa Mkung'ati","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.39888892","35.85549528","http://classic.ona.io/api/v1/files/2371131?filename=pbrtz/attachments/1474194118144.jpg","Dodoma","Chemba","Kidoka","Kidoka","WSTP"
"61","Kwa Juma","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.39526009","35.85006252","http://classic.ona.io/api/v1/files/2371133?filename=pbrtz/attachments/1474194495406.jpg","Dodoma","Chemba","Kidoka","Kidoka","WSDP"
"62","Miembeni","communal_standpipe",NA,"Not_functional","4 9 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.17869095","35.86784308","http://classic.ona.io/api/v1/files/2371140?filename=pbrtz/attachments/1474198133266.jpg","Dodoma","Chemba","Paranga","Paranga","LGA"
"63","Kwa Mzee Rashidi","communal_standpipe",NA,"Not_functional","4 9 10 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.1783668","35.86884778","http://classic.ona.io/api/v1/files/2371141?filename=pbrtz/attachments/1474198496276.jpg","Dodoma","Chemba","Paranga","Paranga","LGA"
"64","Kwa Ali Bira","communal_standpipe",NA,"Not_functional","4 9 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.17718568","35.8705053","http://classic.ona.io/api/v1/files/2371142?filename=pbrtz/attachments/1474198909288.jpg","Dodoma","Chemba","Paranga","Paranga","LGA"
"65","Uwanja wa mpira S/Msingi","communal_standpipe",NA,"Not_functional","4 9 10 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.1761601","35.87051731","http://classic.ona.io/api/v1/files/2371144?filename=pbrtz/attachments/1474199318203.jpg","Dodoma","Chemba","Paranga","Paranga","LGA"
"66","Godown","communal_standpipe",NA,"Not_functional","4 9 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.17470318","35.8695918","http://classic.ona.io/api/v1/files/2371138?filename=pbrtz/attachments/1474199650919.jpg","Dodoma","Chemba","Paranga","Paranga","LGA"
"67","Godown kwa Ayubu Mzee","communal_standpipe",NA,"Not_functional","4 9 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.17526901","35.8685593","http://classic.ona.io/api/v1/files/2371146?filename=pbrtz/attachments/1474200046347.jpg","Dodoma","Chemba","Paranga","Paranga","LGA"
"68","Godown Kwa Shaban Kombo","communal_standpipe",NA,"Not_functional","4 9 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.17667712","35.86780319","http://classic.ona.io/api/v1/files/2371148?filename=pbrtz/attachments/1474200465951.jpg","Dodoma","Chemba","Paranga","Paranga","LGA"
"69","Msikitini","communal_standpipe",NA,"Not_functional","4 9 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.17671775","35.86674496","http://classic.ona.io/api/v1/files/2371149?filename=pbrtz/attachments/1474200698464.jpg","Dodoma","Chemba","Paranga","Paranga","LGA"
"70","Tutani_Barabarani_01073109141WP15","communal_standpipe",NA,"Not_functional","4 9 10",NA,"Functional",NA,"never_functional",NA,NA,NA,"Tuta",NA,"-5.16275498","35.85510182","http://classic.ona.io/api/v1/files/2371152?filename=pbrtz/attachments/1474202003156.jpg","Dodoma","Chemba","Paranga","Paranga","Tuta"
"71","Mashine ya maji","communal_standpipe",NA,"Not_functional","4 9 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.15973227","35.85715862","http://classic.ona.io/api/v1/files/2371158?filename=pbrtz/attachments/1474203749990.jpg","Dodoma","Chemba","Paranga","Paranga","LGA"
"72","Center","communal_standpipe",NA,"Not_functional","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-4.77258592","35.83562832","http://classic.ona.io/api/v1/files/2376502?filename=pbrtz/attachments/1474267995281.jpg","Dodoma","Kondoa","Kolo","Choka","WB"
"73","Lusangi","communal_standpipe",NA,"Not_functional","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-4.78720114","35.83320332","http://classic.ona.io/api/v1/files/2376524?filename=pbrtz/attachments/1474268602867.jpg","Dodoma","Kondoa","Kolo","Choka","WB"
"74","Kanisani_01013014241WP15","communal_standpipe",NA,"Not_functional","9 7",NA,"Functional",NA,"more_3_months",NA,NA,NA,"Choka",NA,"-4.77971332","35.83354891","http://classic.ona.io/api/v1/files/2376526?filename=pbrtz/attachments/1474269422615.jpg","Dodoma","Kondoa","Kolo","Choka","Choka"
"75","Shuleni","communal_standpipe",NA,"Not_functional","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-4.77970974","35.82992595","http://classic.ona.io/api/v1/files/2376527?filename=pbrtz/attachments/1474269781798.jpg","Dodoma","Kondoa","Kolo","Choka","Choka WB"
"76","Korokoso_01013014241WP13","communal_standpipe",NA,"Not_functional","9 7",NA,"Functional",NA,"more_3_months",NA,NA,NA,"Choka",NA,"-4.76691244","35.83868278","http://classic.ona.io/api/v1/files/2376529?filename=pbrtz/attachments/1474270351946.jpg","Dodoma","Kondoa","Kolo","Choka","Choka"
"77","Kwa Mzee Nkwasa","communal_standpipe",NA,"Not_functional","9 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-4.67071927","35.87791884","http://classic.ona.io/api/v1/files/2376532?filename=pbrtz/attachments/1474275743772.jpg","Dodoma","Kondoa","Mnenia","Mnenia","CRIDEP"
"78","Kwa Ally Modu","communal_standpipe",NA,"Not_functional","9 10 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-4.67293403","35.87731028","http://classic.ona.io/api/v1/files/2376534?filename=pbrtz/attachments/1474276115341.jpg","Dodoma","Kondoa","Mnenia","Mnenia","CRIDEP"
"79","Kwa Dominic","communal_standpipe",NA,"Not_functional","9 10 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-4.67480041","35.87556003","http://classic.ona.io/api/v1/files/2376535?filename=pbrtz/attachments/1474276423723.jpg","Dodoma","Kondoa","Mnenia","Mnenia","CRIDEP"
"80","Kwa Dirima","communal_standpipe",NA,"Not_functional","9 10 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-4.67601184","35.87583347","http://classic.ona.io/api/v1/files/2376537?filename=pbrtz/attachments/1474276613288.jpg","Dodoma","Kondoa","Mnenia","Mnenia","TASAF"
"81","Kwa Hussein Mchana","communal_standpipe",NA,"Not_functional","9 10 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-4.67741965","35.87748286","http://classic.ona.io/api/v1/files/2376541?filename=pbrtz/attachments/1474276871039.jpg","Dodoma","Kondoa","Mnenia","Mnenia","CRIDEP"
"82","Kwa Mzee Dara","communal_standpipe",NA,"Not_functional","9 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-4.67876654","35.8738795","http://classic.ona.io/api/v1/files/2376548?filename=pbrtz/attachments/1474277512717.jpg","Dodoma","Kondoa","Mnenia","Mnenia",NA
"83","Kwa Haruna Msikitini","communal_standpipe",NA,"Not_functional","9 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-4.67449501","35.87466833","http://classic.ona.io/api/v1/files/2376550?filename=pbrtz/attachments/1474277992490.jpg","Dodoma","Kondoa","Mnenia","Mnenia","TASAF"
"84","Kwa Juta","handpump_ringwell",NA,"Not_functional","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-4.6761728","35.87267124","http://classic.ona.io/api/v1/files/2376552?filename=pbrtz/attachments/1474278338797.jpg","Dodoma","Kondoa","Mnenia","Mnenia",NA
"85","Kwa Omary Rashid","communal_standpipe",NA,"Not_functional","9 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-4.67497706","35.87127627","http://classic.ona.io/api/v1/files/2376555?filename=pbrtz/attachments/1474278774690.jpg","Dodoma","Kondoa","Mnenia","Mnenia","CRIDEP"
"86","Kwa Nwanga Takayo","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-4.67795565","35.86913567","http://classic.ona.io/api/v1/files/2376558?filename=pbrtz/attachments/1474279340259.jpg","Dodoma","Kondoa","Mnenia","Mnenia","CRIDEP"
"87","Kwa Mzee Abuu","communal_standpipe",NA,"Not_functional","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-4.68071055","35.86777126","http://classic.ona.io/api/v1/files/2376681?filename=pbrtz/attachments/1474279807172.jpg","Dodoma","Kondoa","Mnenia","Mnenia","CRIDEP"
"88","Kwa Saidi Babu","communal_standpipe",NA,"Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-4.68310273","35.86809609","http://classic.ona.io/api/v1/files/2376686?filename=pbrtz/attachments/1474280255044.jpg","Dodoma","Kondoa","Mnenia","Mnenia","CRIDEP"
