region,lga,ward,village,wpt_name,wpt_code,note,select_wpt_name,new_wpt_name,scheme_merge,wpt_type,wpt_type_other,wpt_status,wpt_non_functional_reason,wpt_non_functional_reason_other,wpt_pbr_status,pbr_nonfunctional_functional,pbr_functional_nonfunctional,village_merge,wpt_pbr_scheme,scheme_name_change,long,lat,accuracy,wpt_osm,wpt_gps
Dodoma,Chemba,Kidoka,Pangalua,Mlambo wa mbuzi Pump house,NA,,NA,Mlambo wa mbuzi Pump house,Pangalua,cattle_trough,NA,Not_functional,9,NA,NA,NA,NA,Pangalua,NA,NA,35.92497371,-5.38046224,4,f353015b79324f25de201c80f2fbb9fd1db1d07a.osm,-5.38046224 35.92497371 1131.0 4.0
Dodoma,Chemba,Kidoka,Pangalua,Mlambo wa ng'ombe pump house,NA,,NA,Mlambo wa ng'ombe pump house,Pangalua,cattle_trough,NA,Not_functional,9,NA,NA,NA,NA,Pangalua,NA,NA,35.92477721,-5.38036188,5,9864927275da381f4badcad3b8e70a32daa8f85a.osm,-5.38036188 35.92477721 1133.0 5.0
Dodoma,Chemba,Kidoka,Pangalua,Shuleni,NA,,NA,Shuleni,Pangalua,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Pangalua,NA,NA,35.91440025,-5.38634969,5,7ee811d23b29c49f52475e0127489e115dc3a391.osm,-5.38634969 35.91440025 1144.0 5.0
Dodoma,Chemba,Kidoka,Pangalua,Kwa Kimolo,NA,,NA,Kwa Kimolo,Pangalua,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Pangalua,NA,NA,35.91238876,-5.3866825,5,bea9f708d5a5c6ee9bbd801799419afa95e973f1.osm,-5.3866825 35.91238876 1133.0 5.0
Dodoma,Chemba,Kidoka,Kidoka,Zahanati zamani,NA,,NA,Zahanati zamani,Kidoka,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Kidoka,NA,NA,35.85305425,-5.40696008,5,7dd42c2fdb06e13bdbb57d5ec36dacfeaab6bb24.osm,-5.40696008 35.85305425 1119.0 5.0
Dodoma,Chemba,Kidoka,Kidoka,Zahanati kituo kipya,NA,,NA,Zahanati kituo kipya,Mkaji project,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Kidoka,NA,NA,35.85228924,-5.40685044,4,1960bc4b6fe3af70c999d0eae5a45fbf48065786.osm,-5.40685044 35.85228924 1120.0 4.0
Dodoma,Chemba,Kidoka,Kidoka,Shuleni-Mwenge,NA,,NA,Shuleni-Mwenge,Kidoka,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Kidoka,NA,NA,35.85235865,-5.4096484,5,c6017505390bfda18db1fe97e17cf373bcb7d827.osm,-5.4096484 35.85235865 1119.0 5.0
Dodoma,Chemba,Kidoka,Kidoka,Shuleni,NA,,NA,Shuleni,Shuleni,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Kidoka,NA,NA,35.85316243,-5.41018832,5,086f3acdcc7db8ce27eaffa0e70dcbbb04bbfeb8.osm,-5.41018832 35.85316243 1120.0 5.0
Dodoma,Chemba,Kidoka,Kidoka,Kwa Kimosa,NA,,NA,Kwa Kimosa,Kidoka,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Kidoka,NA,NA,35.85328308,-5.41480191,5,1c03b2a01d8570488ceabe4060ba07266e62c0a8.osm,-5.41480191 35.85328308 1120.0 5.0
Dodoma,Chemba,Kidoka,Kidoka,Kanisa Anglican,NA,,NA,Kanisa Anglican,Kidoka,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Kidoka,NA,NA,35.85662983,-5.40774748,5,8dc36ab2e868b94094517808435f360d9013ee42.osm,-5.40774748 35.85662983 1119.0 5.0
Dodoma,Chemba,Kidoka,Kidoka,Msikitini,NA,,NA,Msikitini,WSDP,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Kidoka,NA,NA,35.85586904,-5.40569287,5,acc3f91d8b6e541ef732c0f8e5542178db3ca677.osm,-5.40569287 35.85586904 1119.0 5.0
Dodoma,Chemba,Kidoka,Kidoka,Kwa Muhogo,NA,,NA,Kwa Muhogo,WSDP,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Kidoka,NA,NA,35.85626973,-5.40376696,5,NA,-5.40376696 35.85626973 1121.0 5.0
Dodoma,Chemba,Kidoka,Kidoka,Kwa Ayoub,NA,,NA,Kwa Ayoub,WSDP,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Kidoka,NA,NA,35.85506271,-5.4034572,5,b56c624ae32b34db5575709a4e9f640af39d80ce.osm,-5.4034572 35.85506271 1120.0 5.0
Dodoma,Chemba,Kidoka,Kidoka,Kwa Mkung'ati,NA,,NA,Kwa Mkung'ati,WSTP,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Kidoka,NA,NA,35.85549528,-5.39888892,5,b99377e106cb2016cb27dc28d077c8d403914adc.osm,-5.39888892 35.85549528 1126.0 5.0
Dodoma,Chemba,Kidoka,Kidoka,Kwa Juma,NA,,NA,Kwa Juma,WSDP,communal_standpipe,NA,Functional,NA,NA,NA,NA,NA,Kidoka,NA,NA,35.85006252,-5.39526009,5,e4ed78826afbbf650246903e540a324a6ec39fdc.osm,-5.39526009 35.85006252 1123.0 5.0
Dodoma,Chemba,Kidoka,Kidoka,Mnadani,NA,,NA,Mnadani,WSDP,cattle_trough,NA,Functional,NA,NA,NA,NA,NA,Kidoka,NA,NA,35.85215211,-5.40270032,5,8cea2694518b1409f05a996b3f09504649ec6369.osm,-5.40270032 35.85215211 1122.0 5.0
Dodoma,Chemba,Paranga,Paranga,Miembeni,NA,,NA,Miembeni,LGA,communal_standpipe,NA,Not_functional,4 9 10,NA,NA,NA,NA,Paranga,NA,NA,35.86784308,-5.17869095,5,NA,-5.17869095 35.86784308 1189.0 5.0
Dodoma,Chemba,Paranga,Paranga,Kwa Mzee Rashidi,NA,,NA,Kwa Mzee Rashidi,LGA,communal_standpipe,NA,Not_functional,4 9 10 7,NA,NA,NA,NA,Paranga,NA,NA,35.86884778,-5.1783668,5,479779c6eea1a14166637492a970af4327d15ea1.osm,-5.1783668 35.86884778 1199.0 5.0
Dodoma,Chemba,Paranga,Paranga,Kwa Ali Bira,NA,,NA,Kwa Ali Bira,LGA,communal_standpipe,NA,Not_functional,4 9 10,NA,NA,NA,NA,Paranga,NA,NA,35.8705053,-5.17718568,5,NA,-5.17718568 35.8705053 1200.0 5.0
Dodoma,Chemba,Paranga,Paranga,Uwanja wa mpira S/Msingi,NA,,NA,Uwanja wa mpira S/Msingi,LGA,communal_standpipe,NA,Not_functional,4 9 10 7,NA,NA,NA,NA,Paranga,NA,NA,35.87051731,-5.1761601,5,c1623ddb486889a4b6ce53fc1aa065846ab87660.osm,-5.1761601 35.87051731 1199.0 5.0
Dodoma,Chemba,Paranga,Paranga,Godown,NA,,NA,Godown,LGA,communal_standpipe,NA,Not_functional,4 9 10,NA,NA,NA,NA,Paranga,NA,NA,35.8695918,-5.17470318,5,NA,-5.17470318 35.8695918 1190.0 5.0
Dodoma,Chemba,Paranga,Paranga,Godown kwa Ayubu Mzee,NA,,NA,Godown kwa Ayubu Mzee,LGA,communal_standpipe,NA,Not_functional,4 9 10,NA,NA,NA,NA,Paranga,NA,NA,35.8685593,-5.17526901,4,669c1ab16e89305f2d7736a52cbf12883e03f0bc.osm,-5.17526901 35.8685593 1186.0 4.0
